common_name,R1_file,R1_md5sum,R2_file,R2_md5sum
UMEL_1_2_TCR,UM_07_GK_on_TCR_S1_L004_R1_001.fastq.gz,b3fa0aa2f553d3745a76de492dbe6952,UM_07_GK_on_TCR_S1_L004_R2_001.fastq.gz,5cdcb29a8a11238d2136e0a66202be5a
UMEL_7_2_usWGS,uM_16_RS_ON_S147_L001_R1_001.fastq.gz,f722be635533fc7e14ca57c64a30430c,uM_16_RS_ON_S147_L001_R2_001.fastq.gz,313b6e1919200f0192a9144ad710ef1e
NSCLC_sn_5p,NSCL-NR001-SNSEQ-5P-NI-BRAIN-GEX-F11_S5_L004_R1_001.fastq.gz,caa30dc80122a21d540c900531fb3ff6,NSCL-NR001-SNSEQ-5P-NI-BRAIN-GEX-F11_S5_L004_R2_001.fastq.gz,712915700a1abd2f566b7f9b332bef96
UMEL_3_3_TCR,UM_09_MW_post_TCR_S1_L004_R1_001.fastq.gz,a2e1ad7ac3271b4aafbb76c923ea5250,UM_09_MW_post_TCR_S1_L004_R2_001.fastq.gz,875630e7ad0b99b693345781b7f8e42f
Mel_sc_5p_CD45_plus_TCR,TCRBI5_S1_L001_R1_001.fastq.gz,8ce8c2f863691035ea1e1c02cc00ddd7,TCRBI5_S1_L001_R2_001.fastq.gz,381018265bf231efd908a00d606769b7
ribas_310_on_later_usWGS,Ribas310dot3_S105_L001_R1_001.fastq.gz,a9d79c888548ad815952edd8108bf861,Ribas310dot3_S105_L001_R2_001.fastq.gz,33d3f01a146439f4e805fd5f266e0938
UMEL_4_2,um_11_lc_on_S16_L002_R1_001.fastq.gz,8467f7636bd187c9f2ca211b4b9b198e,um_11_lc_on_S16_L002_R2_001.fastq.gz,70be6f38590488c262d877375b122390
UMEL_5_1_TCR,UM_12_ML_pre_TCR_S1_L004_R1_001.fastq.gz,6ed15e9aca589b6076b75e6acb4cf46a,UM_12_ML_pre_TCR_S1_L004_R2_001.fastq.gz,fd934fd1eefafde9b6dac7d98b00c1ff
BI5TST,BI5TST_S1_L004_R1_001.fastq.gz,ea797d6177e9c131df720822dbdba11e,BI5TST_S1_L004_R2_001.fastq.gz,ac5ffdaf1bea6ddb8adbed417f6bc19f
UMEL_6_1_TCR,UM_15_LM_pre_TCR_S1_L004_R1_001.fastq.gz,e9c803d4a7254f22a24a45d49c8b7198,UM_15_LM_pre_TCR_S1_L004_R2_001.fastq.gz,250b9f7dc6df5558257ae0f8bb36dd4d
UMEL_3_1_TCR,UM_09_MW_pre_TCR_S1_L004_R1_001.fastq.gz,99e2148aa14492069cf5fe9947c3983b,UM_09_MW_pre_TCR_S1_L004_R2_001.fastq.gz,911bb32641ec251ba72889c361c5a7e5
UMEL_2_1_usWGS,uM_08_AR_Pre_S155_L001_R1_001.fastq.gz,25f47a7b199d2dc0a0cca262c21c2ff9,uM_08_AR_Pre_S155_L001_R2_001.fastq.gz,418a6690563381ae03e6f5af63517718
UMEL_3_3_usWGS,uM_09_MW_POST_S159_L001_R1_001.fastq.gz,cf82e9bda45138f1134df45d037b2d96,uM_09_MW_POST_S159_L001_R2_001.fastq.gz,f563e166467f84182123446a9a102937
Mel_sn_3p,BI5_S1_L001_R1_001.fastq.gz,37b1e85012e65681b435eb742bed86a6,BI5_S1_L001_R2_001.fastq.gz,2fdb88e1edd916a6f65e08f95dc965c7
UMEL_5_2,um_12_ml_on_S10_L002_R1_001.fastq.gz,3cb1713f2290be75e339b5bd802dfbc8,um_12_ml_on_S10_L002_R2_001.fastq.gz,1f23156a7027cb3ebe87e42aea735544
BI5CST,BI5CST_S1_L004_R1_001.fastq.gz,171f8a726ab82e92edfdc925fdfc3954,BI5CST_S1_L004_R2_001.fastq.gz,1d60e6992c284e81c397bd5c20e200ba
UMEL_6_1,um_15_lm_pre_S13_L002_R1_001.fastq.gz,abaa026afd4046d36151037c28795fc2,um_15_lm_pre_S13_L002_R2_001.fastq.gz,931130061d11ed3a220ce9f48a5e08d1
NSCLC_sc_5p_TCR,NSCL-NR001-SCRNA-5P-NA-BRAIN-TCR-F5_S2_L004_R1_001.fastq.gz,a72fcf32b34d60aa2c9c00cfb64b9742,NSCL-NR001-SCRNA-5P-NA-BRAIN-TCR-F5_S2_L004_R2_001.fastq.gz,11f1e86f830e380956835b53c5f05c0c
UMEL_6_3_TCR,UM_15_LM_post_TCR_S1_L004_R1_001.fastq.gz,8b9403bf057eb0e45cfd2f9d09e423ec,UM_15_LM_post_TCR_S1_L004_R2_001.fastq.gz,aa9b0140171d8a79095a763235b3e6ea
UM_sn_5p_inhib_TCR,UMEL-CUUM1-SNRNA-5P-WI-PRIMARY-TCR-F9_S1_L004_R1_001.fastq.gz,499486a656541d3240cd2d6f21294457,UMEL-CUUM1-SNRNA-5P-WI-PRIMARY-TCR-F9_S1_L004_R2_001.fastq.gz,adafd4c58b8beb3292a3bd569ce50a9c
UMEL_7_1_TCR,UM_16_RS_pre_TCR_S1_L004_R1_001.fastq.gz,4bdf49994e9db19b577f40c38b92e377,UM_16_RS_pre_TCR_S1_L004_R2_001.fastq.gz,36d9ab563cddcd883c0c66bfe5a9a319
UMEL_6_2,um_15_lm_on_S14_L002_R1_001.fastq.gz,38b1e6fc28027701ebb9b5f33fc4bc5c,um_15_lm_on_S14_L002_R2_001.fastq.gz,2eb373f8fc891d69e88ae1543a605394
UMEL_6_3_usWGS,uM_15_LM_POST_S157_L001_R1_001.fastq.gz,de06d9b4a1192949d5ad8e2d557508a8,uM_15_LM_POST_S157_L001_R2_001.fastq.gz,eee3869a3e867560a71259df2a0affe4
UMEL_1_3,uv003-uvme-snseq-3p-post_S1_L001_R1_001.fastq.gz,5d5ce94a34fd257b27d3f2dc1262a151,uv003-uvme-snseq-3p-post_S1_L001_R2_001.fastq.gz,dff1b6a849f1f51708d2e54253ae99aa
UMEL_7_1_usWGS,uM_16_RS_Pre_S160_L001_R1_001.fastq.gz,c8f441cd37d8da489123abc2480dde88,uM_16_RS_Pre_S160_L001_R2_001.fastq.gz,df97f83d9a98c97badad6d10cce2d0da
Mel_sn_5p_TCR,bi005-skcm-5snseq-TCR_S1_L001_R1_001.fastq.gz,a67abea7284fdff09685e2801a97db7c,bi005-skcm-5snseq-TCR_S1_L001_R2_001.fastq.gz,a41692790c1301bf12f3765f3cb43c73
UMEL_1_1,um_07_gk_pre_S4_L001_R1_001.fastq.gz,57b9d8fe5d53da97dbb11b628c90f606,um_07_gk_pre_S4_L001_R2_001.fastq.gz,c4b3a7db51ae8687d3803fda9baa44aa
