"Gene start (bp)"	"Gene end (bp)"	"HGNC symbol"	"Gene stable ID version"	"Gene stable ID"	"Chromosome/scaffold name"
212565334	212620777	"ATF3"	"ENSG00000162772.17"	"ENSG00000162772"	1
116372668	116410261	"ATP1A1"	"ENSG00000163399.16"	"ENSG00000163399"	1
169105697	169310992	"ATP1B1"	"ENSG00000143153.14"	"ENSG00000143153"	1
116514534	116571039	"CD58"	"ENSG00000116815.16"	"ENSG00000116815"	1
203178931	203186704	"CHI3L1"	"ENSG00000133048.13"	"ENSG00000133048"	1
24745382	24844321	"CLIC4"	"ENSG00000169504.15"	"ENSG00000169504"	1
150508062	150513789	"ECM1"	"ENSG00000143369.15"	"ENSG00000143369"	1
161581339	161605662	"FCGR2C"	"ENSG00000244682.8"	"ENSG00000244682"	1
161706972	161714352	"FCRLA"	"ENSG00000132185.18"	"ENSG00000132185"	1
27666064	27672212	"IFI6"	"ENSG00000126709.16"	"ENSG00000126709"	1
160091340	160098943	"IGSF8"	"ENSG00000162729.14"	"ENSG00000162729"	1
58776845	58784048	"JUN"	"ENSG00000177606.8"	"ENSG00000177606"	1
65420587	65436007	"LEPROT"	"ENSG00000213625.9"	"ENSG00000213625"	1
161304735	161309968	"MPZ"	"ENSG00000158887.19"	"ENSG00000158887"	1
148808181	149048286	"PDE4DIP"	"ENSG00000178104.19"	"ENSG00000178104"	1
9997206	10016021	"RBP7"	"ENSG00000162444.12"	"ENSG00000162444"	1
153627926	153632039	"S100A1"	"ENSG00000160678.12"	"ENSG00000160678"	1
153618787	153631360	"S100A13"	"ENSG00000189171.15"	"ENSG00000189171"	1
153534599	153536244	"S100A6"	"ENSG00000197956.10"	"ENSG00000197956"	1
246724409	246768137	"SCCPDH"	"ENSG00000143653.10"	"ENSG00000143653"	1
30869466	30908758	"SDC3"	"ENSG00000162512.16"	"ENSG00000162512"	1
109309568	109397918	"SORT1"	"ENSG00000134243.12"	"ENSG00000134243"	1
173183731	173207331	"TNFSF4"	"ENSG00000117586.11"	"ENSG00000117586"	1
145992435	145996579	"TXNIP"	"ENSG00000265972.6"	"ENSG00000265972"	1
222860942	222944639	"ACSL3"	"ENSG00000123983.15"	"ENSG00000123983"	2
136114349	136118149	"CXCR4"	"ENSG00000121966.7"	"ENSG00000121966"	2
218781749	218815293	"CYP27A1"	"ENSG00000135929.9"	"ENSG00000135929"	2
75469302	75569722	"EVA1A"	"ENSG00000115363.14"	"ENSG00000115363"	2
182833275	182866637	"FRZB"	"ENSG00000162998.5"	"ENSG00000162998"	2
174431571	174487094	"GPR155"	"ENSG00000163328.14"	"ENSG00000163328"	2
10302889	10427617	"HPCAL1"	"ENSG00000115756.13"	"ENSG00000115756"	2
172427354	172506459	"ITGA6"	"ENSG00000091409.16"	"ENSG00000091409"	2
37342827	37373322	"QPCT"	"ENSG00000115828.17"	"ENSG00000115828"	2
223975045	224039318	"SERPINE2"	"ENSG00000135919.14"	"ENSG00000135919"	2
112645939	112663825	"SLC20A1"	"ENSG00000144136.11"	"ENSG00000144136"	2
230415942	230545606	"SP100"	"ENSG00000067066.17"	"ENSG00000067066"	2
85318027	85328251	"TGOLN2"	"ENSG00000152291.15"	"ENSG00000152291"	2
